id,de_xuat,dung,bo_sot,bia,dauviec,giayto,gop,trung,precision,recall,f1
J01_ke_toan,8,7,0,0,0,1,0,0,0.875,1.0,0.9333
J02_kinh_doanh,6,6,0,0,0,0,0,0,1.0,1.0,1.0
J03_kho_van,6,2,1,0,2,1,1,0,0.3333,0.6667,0.4444
J04_dotnet,10,10,0,0,0,0,0,0,1.0,1.0,1.0
J05_hanh_chinh,9,7,0,0,0,1,1,0,0.7778,1.0,0.875
J06_le_tan,8,6,0,0,0,2,0,0,0.75,1.0,0.8571
J07_marketing,6,6,0,0,0,0,0,0,1.0,1.0,1.0
J08_tai_xe,0,0,3,0,0,0,0,0,0.0,0.0,0.0
J09_chi_dau_viec,0,0,0,0,0,0,0,0,,,
J10_qua_nhieu,10,9,1,0,0,0,1,0,0.9,0.9,0.9
TONG,63,53,5,0,2,5,3,0,0.8413,0.9138,0.876
