id,nganh,so_tieu_chi,so_giay_to,giay_to_rate,so_gop,gop_rate,trung_lap,qua_tran,on_dinh,giay_tb,loi
J01_ke_toan,Kế toán,8,1,0.125,2,0.25,0,0,1.0,2.93,0
J02_kinh_doanh,Kinh doanh,7,0,0.0,2,0.2857,0,0,1.0,2.23,0
J03_kho_van,Kho vận,5,1,0.2,3,0.6,0,0,1.0,1.69,0
J04_dotnet,CNTT,9,0,0.0,2,0.2222,0,0,1.0,2.65,0
J05_hanh_chinh,Hành chính - Nhân sự,9,1,0.1111,3,0.3333,0,0,1.0,2.77,0
J06_le_tan,Khách sạn,8,2,0.25,1,0.125,0,0,1.0,2.62,0
J07_marketing,Marketing,6,0,0.0,2,0.3333,0,0,1.0,1.91,0
J08_tai_xe,Vận tải,0,0,0.0,0,0.0,0,0,1.0,0.23,0
J09_chi_dau_viec,Sản xuất,0,0,0.0,0,0.0,0,0,1.0,0.21,0
J10_qua_nhieu,CNTT,10,0,0.0,3,0.3,0,0,1.0,2.99,0
