id,nganh,so_tieu_chi,so_giay_to,giay_to_rate,so_gop,gop_rate,so_nguong,nguong_rate,trung_lap,qua_tran,json_ok,on_dinh,giay_tb,loi
J01_ke_toan,Kế toán,8,1,0.125,2,0.25,2,0.25,0,0,2,1.0,2.69,0
J02_kinh_doanh,Kinh doanh,6,0,0.0,2,0.3333,0,0.0,0,0,2,1.0,2.02,0
J03_kho_van,Kho vận,8,1,0.125,3,0.375,1,0.125,0,0,2,1.0,2.34,0
J04_dotnet,CNTT,10,0,0.0,1,0.1,0,0.0,0,0,2,0.9583,2.76,0
J05_hanh_chinh,Hành chính - Nhân sự,9,1,0.1111,3,0.3333,1,0.1111,0,0,2,1.0,2.77,0
J06_le_tan,Khách sạn,8,2,0.25,1,0.125,2,0.25,0,0,2,1.0,2.61,0
J07_marketing,Marketing,6,0,0.0,2,0.3333,0,0.0,0,0,2,1.0,1.92,0
J08_tai_xe,Vận tải,0,0,0.0,0,0.0,0,0.0,0,0,2,1.0,0.23,0
J09_chi_dau_viec,Sản xuất,0,0,0.0,0,0.0,0,0.0,0,0,2,1.0,0.23,0
J10_qua_nhieu,CNTT,10,0,0.0,4,0.4,0,0.0,0,0,2,1.0,3.13,0
