id,de_xuat,dung,bo_sot,bia,dauviec,giayto,gop,trung,precision,recall,f1
J01_ke_toan,8,7,1,0,0,1,0,0,0.875,0.875,0.875
J02_kinh_doanh,6,6,1,0,0,0,0,0,1.0,0.8571,0.9231
J03_kho_van,8,5,0,0,0,1,1,1,0.625,1.0,0.7692
J04_dotnet,10,10,0,0,0,0,0,0,1.0,1.0,1.0
J05_hanh_chinh,9,7,1,0,0,1,1,0,0.7778,0.875,0.8235
J06_le_tan,8,6,1,0,0,2,0,0,0.75,0.8571,0.8
J07_marketing,6,6,0,0,0,0,0,0,1.0,1.0,1.0
J08_cskh,7,5,0,0,0,1,1,0,0.7143,1.0,0.8333
J09_chi_dau_viec,0,0,0,0,0,0,0,0,,,
J10_qua_nhieu,10,8,0,0,0,0,2,0,0.8,1.0,0.8889
TONG,72,60,4,0,0,6,5,1,0.8333,0.9375,0.8824
