threshold,TP,FP,FN,TN,precision,recall,f1,accuracy
0.3,36,36,0,0,0.5,1.0,0.6667,0.5
0.32,36,36,0,0,0.5,1.0,0.6667,0.5
0.34,36,36,0,0,0.5,1.0,0.6667,0.5
0.36,36,36,0,0,0.5,1.0,0.6667,0.5
0.38,36,36,0,0,0.5,1.0,0.6667,0.5
0.4,36,36,0,0,0.5,1.0,0.6667,0.5
0.42,36,36,0,0,0.5,1.0,0.6667,0.5
0.44,36,36,0,0,0.5,1.0,0.6667,0.5
0.46,36,35,0,1,0.507,1.0,0.6729,0.5139
0.48,36,35,0,1,0.507,1.0,0.6729,0.5139
0.5,34,32,2,4,0.5152,0.9444,0.6667,0.5278
0.52,34,26,2,10,0.5667,0.9444,0.7083,0.6111
0.54,27,21,9,15,0.5625,0.75,0.6429,0.5833
0.56,20,19,16,17,0.5128,0.5556,0.5333,0.5139
0.58,14,12,22,24,0.5385,0.3889,0.4516,0.5278
0.6,5,8,31,28,0.3846,0.1389,0.2041,0.4583
0.62,3,6,33,30,0.3333,0.0833,0.1333,0.4583
0.64,1,4,35,32,0.2,0.0278,0.0488,0.4583
0.66,0,3,36,33,0.0,0.0,0.0,0.4583
0.68,0,1,36,35,0.0,0.0,0.0,0.4861
0.7,0,0,36,36,0.0,0.0,0.0,0.5
0.72,0,0,36,36,0.0,0.0,0.0,0.5
0.74,0,0,36,36,0.0,0.0,0.0,0.5
0.76,0,0,36,36,0.0,0.0,0.0,0.5
0.78,0,0,36,36,0.0,0.0,0.0,0.5
0.8,0,0,36,36,0.0,0.0,0.0,0.5
0.82,0,0,36,36,0.0,0.0,0.0,0.5
0.84,0,0,36,36,0.0,0.0,0.0,0.5
0.86,0,0,36,36,0.0,0.0,0.0,0.5
0.88,0,0,36,36,0.0,0.0,0.0,0.5
0.9,0,0,36,36,0.0,0.0,0.0,0.5
