id,so_cau,dung,bo_sot,bia,suydien,saiso,saorong,precision,recall,f1
C01_khong_ghi_so_nam,5,4,1,0,0,1,0,0.8,0.8,0.8
C02_ketoan_khop,5,4,0,0,0,1,0,0.8,1.0,0.889
C03_fresher_mong,4,4,0,0,0,0,0,1.0,1.0,1.0
C04_trai_nganh,3,3,1,0,0,0,0,1.0,0.75,0.857
C05_nhay_viec_nhieu_moc,5,5,0,0,0,0,0,1.0,1.0,1.0
C06_text_pdf_lon_xon,4,2,1,0,0,2,0,0.5,0.667,0.571
C07_song_ngu,6,5,1,0,0,1,0,0.833,0.833,0.833
C08_thanh_tich_nhieu_so,7,6,1,0,0,1,0,0.857,0.857,0.857
C09_khoang_trong_su_nghiep,5,4,1,0,0,1,0,0.8,0.8,0.8
C10_liet_ke_cong_nghe,4,4,0,0,0,0,0,1.0,1.0,1.0
TONG,48,41,6,0,0,7,0,0.854,0.872,0.863
